Size,Mode,Category,Samples,EM,F1,NumPres,GoldRecall,Sel_p50,Sel_p95,TTFT_p50,TTFT_p95,FT_p50,FT_p95
200,full_context,A,50,78.0,74.0,78.0,100.0,25.516750000861066,31.121570000323118,2682.9845499996736,2765.6475850008064,2713.323649997619,2805.1471300026606
200,hybrid,A,60,100.0,96.66666666666667,100.0,100.0,25.452249999943888,30.311295001138205,2113.897299999735,2159.8761500001274,2143.6594999977387,2210.2311749991713
200,hybrid,B,60,85.0,80.0,100.0,100.0,27.18795000055252,30.98902000092494,2115.1514000011957,2297.0216699994126,2151.8876500012993,2373.053365004489
200,hybrid,C,60,88.33333333333333,85.0,100.0,100.0,25.832749999608495,31.187785000020085,2120.1381500013667,2330.834700000196,2149.0995499989367,2358.6954850045004
200,hybrid,D,60,1.6666666666666667,61.66666666666667,20.0,100.0,27.31725000012375,31.298334998791688,2113.6568500005524,2206.966549999015,2142.312250000032,2259.5590000052653
200,hybrid,E,60,20.0,45.55555555555555,41.66666666666667,100.0,25.157549998766626,30.793870001798496,2121.301900000617,2186.445699998876,2148.7024499992913,2235.2972550010236
200,oracle_guarded,A,60,100.0,96.66666666666667,100.0,100.0,25.868299997455324,30.525929998293577,2099.8977500003093,2129.191055000956,2125.8312499994645,2170.4404699992665
200,oracle_guarded,B,60,100.0,80.0,100.0,100.0,26.390000000901637,30.778960000134248,2101.1087999986557,2131.855649998215,2124.9956000037855,2232.68345999777
200,oracle_guarded,C,60,100.0,85.0,100.0,100.0,25.591450001229532,30.48839999764823,2097.5641000004543,2125.586749998547,2121.6079499990883,2187.1351100005995
200,oracle_guarded,D,60,18.333333333333332,61.24999999999999,18.333333333333332,100.0,25.773299999855226,30.852555000001303,2105.483600000298,2130.4870800013305,2127.404300001217,2180.6683200007683
200,oracle_guarded,E,60,100.0,83.33333333333334,100.0,100.0,27.107349999823782,30.670940002892166,2098.531150000781,2140.098980000039,2125.305150000713,2198.0986399998073
200,predictor_cached,A,60,96.66666666666667,96.66666666666667,100.0,100.0,26.093450001098972,30.92548999884457,2110.2437999998074,2184.864560000642,2139.9664000000485,2248.442035001244
200,predictor_cached,B,60,80.0,80.0,100.0,100.0,26.833650000298803,30.896370001300966,2125.292900000204,2392.3052550027933,2163.888699999916,2430.0597749965164
200,predictor_cached,C,60,85.0,85.0,100.0,100.0,25.807699999859324,30.714785000600386,2111.425400000371,2387.823229999958,2146.240600000965,2413.0958200023088
200,predictor_cached,D,60,5.0,62.083333333333336,21.666666666666668,100.0,26.030450000689598,31.135800001356984,2112.574149999091,2153.9778699974704,2142.069100000299,2229.1967749986725
200,predictor_cached,E,60,20.0,45.55555555555556,41.66666666666667,100.0,25.544550000631716,30.52381499974217,2115.508700000646,2181.2465649972182,2144.303650000438,2224.58238500094
200,predictor_cached_guarded,A,60,100.0,96.66666666666667,100.0,100.0,27.067399999396002,30.416099999092694,2108.387849999417,2154.8750599990854,2137.849750000896,2182.023564999872
200,predictor_cached_guarded,B,60,100.0,80.0,100.0,100.0,27.336299999660696,30.79860499874485,2110.1970500003517,2163.1771600008506,2128.2153500005734,2207.9241199985518
200,predictor_cached_guarded,C,60,100.0,85.0,100.0,100.0,26.89644999918528,30.97993500159646,2109.082099999796,2153.275300000132,2135.753000000477,2216.1061050011085
200,predictor_cached_guarded,D,60,21.666666666666668,62.083333333333336,21.666666666666668,100.0,26.11830000023474,31.031590000111464,2106.7177999975684,2141.455939999287,2130.134299997735,2172.0264549984677
200,predictor_cached_guarded,E,60,100.0,83.33333333333334,100.0,100.0,26.452799998878618,30.788139998367114,2101.66135000145,2144.992295000702,2124.671600000511,2199.9624749994837
200,predictor_cached_strict_entity,A,60,96.66666666666667,96.66666666666667,100.0,100.0,25.887750000038068,30.67064500064589,2115.9512500007622,2186.513239999931,2144.580499996664,2228.5016900024857
200,predictor_cached_strict_entity,B,60,80.0,80.0,100.0,100.0,26.228700000501703,30.88986000038858,2117.610749999585,2351.2276299988116,2145.9994000015286,2383.8537449993964
200,predictor_cached_strict_entity,C,60,85.0,85.0,100.0,100.0,27.22545000142418,30.930635000549955,2115.1173999987805,2412.909810000383,2148.9361000003555,2447.005334999448
200,predictor_cached_strict_entity,D,60,5.0,62.083333333333336,21.666666666666668,100.0,26.57999999973981,31.0806749999756,2110.3474500005177,2158.254140000645,2141.6237500015995,2253.974140000264
200,predictor_cached_strict_entity,E,60,83.33333333333334,83.33333333333334,100.0,100.0,25.513950000458863,30.66834000082963,2102.8658499999437,2148.0329999991227,2134.34049999978,2182.748935003383
200,random,A,50,2.0,31.33333333333333,8.0,6.0,25.515149999591813,30.731299999206385,2118.6574999992445,2190.5971700009104,2152.570600001127,2312.072720001197
400,full_context,A,50,12.0,43.42857142857142,92.0,100.0,30.443949999607867,35.48856999996133,2944.9454999994487,3037.198084998454,2980.531700000938,3067.0490949982195
400,hybrid,A,60,96.66666666666667,96.66666666666667,100.0,100.0,31.813949999559554,35.33658000087598,2114.733200000046,2156.992195001658,2149.861599998985,2265.2093800003054
400,hybrid,B,60,86.66666666666667,80.0,100.0,100.0,31.208750000587315,35.9694450009556,2116.228100000626,2444.1717149993565,2156.722350000564,2497.572604997731
400,hybrid,C,60,88.33333333333333,85.0,100.0,100.0,31.70520000094257,35.757109999030945,2118.9264000004187,2413.005845000498,2153.6837500007096,2445.4193249996933
400,hybrid,D,60,3.3333333333333335,62.083333333333336,21.666666666666668,100.0,30.876000000716886,35.63157999778923,2121.119949999411,2216.4681599990217,2160.69084999981,2309.38445999991
400,hybrid,E,60,18.333333333333332,44.44444444444445,40.0,100.0,29.975249999552034,35.76797500209068,2122.8010999993785,2205.0636500011933,2158.4294500025862,2255.7725400007257
400,oracle_guarded,A,60,100.0,96.66666666666667,100.0,100.0,31.66014999987965,36.63858000027176,2100.702800000363,2126.2526999980764,2131.1114999989513,2238.618649998989
400,oracle_guarded,B,60,100.0,80.0,100.0,100.0,30.289250000350876,36.218484999517386,2096.886200000881,2139.5149199992375,2127.237950001472,2184.3359400001646
400,oracle_guarded,C,60,100.0,85.0,100.0,100.0,31.634349998057587,35.62337999974261,2108.2103999997344,2133.5011499995744,2137.599099999534,2185.324234993277
400,oracle_guarded,D,60,18.333333333333332,61.24999999999999,18.333333333333332,100.0,30.34385000137263,35.27279999925668,2099.5779000004404,2133.996799999295,2128.67555000048,2185.711105000428
400,oracle_guarded,E,60,100.0,83.33333333333334,100.0,100.0,30.239499999879627,35.58398500026669,2097.6881500009767,2138.2046250010717,2129.058050002641,2183.2329049987493
400,predictor_cached,A,60,98.33333333333333,96.66666666666667,100.0,100.0,31.63869999934832,35.69298499996876,2105.9837000002517,2140.4467999994267,2141.1001000005854,2240.208805000202
400,predictor_cached,B,60,83.33333333333334,80.0,100.0,100.0,30.743700001039542,35.432570000193664,2113.9810999993642,2461.1443100015094,2147.2505500023544,2496.3200500013954
400,predictor_cached,C,60,86.66666666666667,85.0,100.0,100.0,31.16914999918663,35.12855499930083,2116.220150001027,2444.5545149999816,2153.497450000941,2477.8955299980225
400,predictor_cached,D,60,3.3333333333333335,61.66666666666667,20.0,100.0,31.77150000101392,35.88133999901402,2112.825750000411,2151.6139549981744,2149.212350002017,2214.067404999787
400,predictor_cached,E,60,20.0,45.55555555555555,41.66666666666667,100.0,30.427949999648263,35.70605000077194,2121.4782999995805,2185.852424999939,2156.3429999996515,2299.6530499990513
400,predictor_cached_guarded,A,60,100.0,96.66666666666667,100.0,100.0,31.550249999781954,35.739124998963234,2104.557800001203,2146.5356799998517,2137.3742499999935,2191.5478249997245
400,predictor_cached_guarded,B,60,100.0,80.0,100.0,100.0,31.176100001175655,35.74248999966585,2106.0698500004946,2128.2555799994952,2136.5253499989194,2182.7860049991614
400,predictor_cached_guarded,C,60,100.0,85.0,100.0,100.0,31.39105000082054,35.561990000314836,2113.26790000021,2140.3531000005387,2138.4854000016276,2221.8946000007236
400,predictor_cached_guarded,D,60,20.0,61.66666666666667,20.0,100.0,31.236549998538976,36.30376500241255,2109.2473000007885,2147.6647799987404,2137.25390000036,2193.1463000012627
400,predictor_cached_guarded,E,60,100.0,83.33333333333334,100.0,100.0,30.615550000220537,34.996784999384545,2102.417599999171,2134.033275001002,2132.865449997553,2211.4395449993026
400,predictor_cached_strict_entity,A,60,98.33333333333333,96.66666666666667,100.0,100.0,30.99455000119633,35.64421999908518,2104.5294999985344,2139.434890001394,2138.276699999551,2198.1337699993674
400,predictor_cached_strict_entity,B,60,83.33333333333334,80.0,100.0,100.0,31.088899999303976,35.48127000158274,2115.4681500011066,2438.2666900015465,2155.5071000011594,2468.6417899974913
400,predictor_cached_strict_entity,C,60,86.66666666666667,85.0,100.0,100.0,31.455249998543877,35.34144500135881,2110.604349998539,2466.76100499717,2147.8799000014988,2497.089134997441
400,predictor_cached_strict_entity,D,60,3.3333333333333335,61.66666666666667,20.0,100.0,30.506499999319203,35.357190002832795,2107.1117499996035,2154.7524049996355,2138.918950000516,2215.3831600009653
400,predictor_cached_strict_entity,E,60,83.33333333333334,83.33333333333334,100.0,100.0,31.0984500010818,35.39154000045528,2106.7626000003656,2155.3299050000533,2141.848250000294,2206.761490001645
400,random,A,50,4.0,28.666666666666668,8.0,6.0,30.399299997952767,35.498469999492954,2111.7792500008363,2207.1315450006296,2151.941599998281,2315.5489349984236
