question_id,total_blocks,kept_blocks,dropped_blocks,estimated_kv_read_reduction
Q0000,50,16,34,0.680000
Q0001,50,16,34,0.680000
Q0002,50,16,34,0.680000
Q0003,50,16,34,0.680000
Q0004,50,16,34,0.680000
Q0005,50,16,34,0.680000
Q0006,50,16,34,0.680000
Q0007,50,16,34,0.680000
Q0008,50,16,34,0.680000
Q0009,50,16,34,0.680000
Q0010,50,16,34,0.680000
Q0011,50,16,34,0.680000
Q0012,50,16,34,0.680000
Q0013,50,16,34,0.680000
Q0014,50,16,34,0.680000
Q0015,50,16,34,0.680000
Q0016,50,16,34,0.680000
Q0017,50,16,34,0.680000
Q0018,50,16,34,0.680000
Q0019,50,16,34,0.680000
Q0020,50,16,34,0.680000
Q0021,50,16,34,0.680000
Q0022,50,16,34,0.680000
Q0023,50,16,34,0.680000
Q0024,50,16,34,0.680000
Q0025,50,16,34,0.680000
Q0026,50,16,34,0.680000
Q0027,50,16,34,0.680000
Q0028,50,16,34,0.680000
Q0029,50,16,34,0.680000
Q0030,50,16,34,0.680000
Q0031,50,16,34,0.680000
Q0032,50,16,34,0.680000
Q0033,50,16,34,0.680000
Q0034,50,16,34,0.680000
Q0035,50,16,34,0.680000
Q0036,50,16,34,0.680000
Q0037,50,16,34,0.680000
Q0038,50,16,34,0.680000
Q0039,50,16,34,0.680000
Q0040,50,16,34,0.680000
Q0041,50,16,34,0.680000
Q0042,50,16,34,0.680000
Q0043,50,16,34,0.680000
Q0044,50,16,34,0.680000
Q0045,50,16,34,0.680000
Q0046,50,16,34,0.680000
Q0047,50,16,34,0.680000
Q0048,50,16,34,0.680000
Q0049,50,16,34,0.680000
Q0050,50,16,34,0.680000
Q0051,50,16,34,0.680000
Q0052,50,16,34,0.680000
Q0053,50,16,34,0.680000
Q0054,50,16,34,0.680000
Q0055,50,16,34,0.680000
Q0056,50,16,34,0.680000
Q0057,50,16,34,0.680000
Q0058,50,16,34,0.680000
Q0059,50,16,34,0.680000
Q0060,50,16,34,0.680000
Q0061,50,16,34,0.680000
Q0062,50,16,34,0.680000
Q0063,50,16,34,0.680000
Q0064,50,16,34,0.680000
Q0065,50,16,34,0.680000
Q0066,50,16,34,0.680000
Q0067,50,16,34,0.680000
Q0068,50,16,34,0.680000
Q0069,50,16,34,0.680000
Q0070,50,16,34,0.680000
Q0071,50,16,34,0.680000
Q0072,50,16,34,0.680000
Q0073,50,16,34,0.680000
Q0074,50,16,34,0.680000
Q0075,50,16,34,0.680000
Q0076,50,16,34,0.680000
Q0077,50,16,34,0.680000
Q0078,50,16,34,0.680000
Q0079,50,16,34,0.680000
Q0080,50,16,34,0.680000
Q0081,50,16,34,0.680000
Q0082,50,16,34,0.680000
Q0083,50,16,34,0.680000
Q0084,50,16,34,0.680000
Q0085,50,16,34,0.680000
Q0086,50,16,34,0.680000
Q0087,50,16,34,0.680000
Q0088,50,16,34,0.680000
Q0089,50,16,34,0.680000
Q0090,50,16,34,0.680000
Q0091,50,16,34,0.680000
Q0092,50,16,34,0.680000
Q0093,50,16,34,0.680000
Q0094,50,16,34,0.680000
Q0095,50,16,34,0.680000
Q0096,50,16,34,0.680000
Q0097,50,16,34,0.680000
Q0098,50,16,34,0.680000
Q0099,50,16,34,0.680000
Q0100,50,16,34,0.680000
Q0101,50,16,34,0.680000
Q0102,50,16,34,0.680000
Q0103,50,16,34,0.680000
Q0104,50,16,34,0.680000
Q0105,50,16,34,0.680000
Q0106,50,16,34,0.680000
Q0107,50,16,34,0.680000
Q0108,50,16,34,0.680000
Q0109,50,16,34,0.680000
Q0110,50,16,34,0.680000
Q0111,50,16,34,0.680000
Q0112,50,16,34,0.680000
Q0113,50,16,34,0.680000
Q0114,50,16,34,0.680000
Q0115,50,16,34,0.680000
Q0116,50,16,34,0.680000
Q0117,50,16,34,0.680000
Q0118,50,16,34,0.680000
Q0119,50,16,34,0.680000
Q0120,50,16,34,0.680000
Q0121,50,16,34,0.680000
Q0122,50,16,34,0.680000
Q0123,50,16,34,0.680000
Q0124,50,16,34,0.680000
Q0125,50,16,34,0.680000
Q0126,50,16,34,0.680000
Q0127,50,16,34,0.680000
Q0128,50,16,34,0.680000
Q0129,50,16,34,0.680000
Q0130,50,16,34,0.680000
Q0131,50,16,34,0.680000
Q0132,50,16,34,0.680000
Q0133,50,16,34,0.680000
Q0134,50,16,34,0.680000
Q0135,50,16,34,0.680000
Q0136,50,16,34,0.680000
Q0137,50,16,34,0.680000
Q0138,50,16,34,0.680000
Q0139,50,16,34,0.680000
Q0140,50,16,34,0.680000
Q0141,50,16,34,0.680000
Q0142,50,16,34,0.680000
Q0143,50,16,34,0.680000
Q0144,50,16,34,0.680000
Q0145,50,16,34,0.680000
Q0146,50,16,34,0.680000
Q0147,50,16,34,0.680000
Q0148,50,16,34,0.680000
Q0149,50,16,34,0.680000
Q0150,50,16,34,0.680000
Q0151,50,16,34,0.680000
Q0152,50,16,34,0.680000
Q0153,50,16,34,0.680000
Q0154,50,16,34,0.680000
Q0155,50,16,34,0.680000
Q0156,50,16,34,0.680000
Q0157,50,16,34,0.680000
Q0158,50,16,34,0.680000
Q0159,50,16,34,0.680000
Q0160,50,16,34,0.680000
Q0161,50,16,34,0.680000
Q0162,50,16,34,0.680000
Q0163,50,16,34,0.680000
Q0164,50,16,34,0.680000
Q0165,50,16,34,0.680000
Q0166,50,16,34,0.680000
Q0167,50,16,34,0.680000
Q0168,50,16,34,0.680000
Q0169,50,16,34,0.680000
Q0170,50,16,34,0.680000
Q0171,50,16,34,0.680000
Q0172,50,16,34,0.680000
Q0173,50,16,34,0.680000
Q0174,50,16,34,0.680000
Q0175,50,16,34,0.680000
Q0176,50,16,34,0.680000
Q0177,50,16,34,0.680000
Q0178,50,16,34,0.680000
Q0179,50,16,34,0.680000
Q0180,50,16,34,0.680000
Q0181,50,16,34,0.680000
Q0182,50,16,34,0.680000
Q0183,50,16,34,0.680000
Q0184,50,16,34,0.680000
Q0185,50,16,34,0.680000
Q0186,50,16,34,0.680000
Q0187,50,16,34,0.680000
Q0188,50,16,34,0.680000
Q0189,50,16,34,0.680000
Q0190,50,16,34,0.680000
Q0191,50,16,34,0.680000
Q0192,50,16,34,0.680000
Q0193,50,16,34,0.680000
Q0194,50,16,34,0.680000
Q0195,50,16,34,0.680000
Q0196,50,16,34,0.680000
Q0197,50,16,34,0.680000
Q0198,50,16,34,0.680000
Q0199,50,16,34,0.680000
Q0200,50,16,34,0.680000
Q0201,50,16,34,0.680000
Q0202,50,16,34,0.680000
Q0203,50,16,34,0.680000
Q0204,50,16,34,0.680000
Q0205,50,16,34,0.680000
Q0206,50,16,34,0.680000
Q0207,50,16,34,0.680000
Q0208,50,16,34,0.680000
Q0209,50,16,34,0.680000
Q0210,50,16,34,0.680000
Q0211,50,16,34,0.680000
Q0212,50,16,34,0.680000
Q0213,50,16,34,0.680000
Q0214,50,16,34,0.680000
Q0215,50,16,34,0.680000
Q0216,50,16,34,0.680000
Q0217,50,16,34,0.680000
Q0218,50,16,34,0.680000
Q0219,50,16,34,0.680000
Q0220,50,16,34,0.680000
Q0221,50,16,34,0.680000
Q0222,50,16,34,0.680000
Q0223,50,16,34,0.680000
Q0224,50,16,34,0.680000
Q0225,50,16,34,0.680000
Q0226,50,16,34,0.680000
Q0227,50,16,34,0.680000
Q0228,50,16,34,0.680000
Q0229,50,16,34,0.680000
Q0230,50,16,34,0.680000
Q0231,50,16,34,0.680000
Q0232,50,16,34,0.680000
Q0233,50,16,34,0.680000
Q0234,50,16,34,0.680000
Q0235,50,16,34,0.680000
Q0236,50,16,34,0.680000
Q0237,50,16,34,0.680000
Q0238,50,16,34,0.680000
Q0239,50,16,34,0.680000
Q0240,50,16,34,0.680000
Q0241,50,16,34,0.680000
Q0242,50,16,34,0.680000
Q0243,50,16,34,0.680000
Q0244,50,16,34,0.680000
Q0245,50,16,34,0.680000
Q0246,50,16,34,0.680000
Q0247,50,16,34,0.680000
Q0248,50,16,34,0.680000
Q0249,50,16,34,0.680000
Q0250,50,16,34,0.680000
Q0251,50,16,34,0.680000
Q0252,50,16,34,0.680000
Q0253,50,16,34,0.680000
Q0254,50,16,34,0.680000
Q0255,50,16,34,0.680000
Q0256,50,16,34,0.680000
Q0257,50,16,34,0.680000
Q0258,50,16,34,0.680000
Q0259,50,16,34,0.680000
Q0260,50,16,34,0.680000
Q0261,50,16,34,0.680000
Q0262,50,16,34,0.680000
Q0263,50,16,34,0.680000
Q0264,50,16,34,0.680000
Q0265,50,16,34,0.680000
Q0266,50,16,34,0.680000
Q0267,50,16,34,0.680000
Q0268,50,16,34,0.680000
Q0269,50,16,34,0.680000
Q0270,50,16,34,0.680000
Q0271,50,16,34,0.680000
Q0272,50,16,34,0.680000
Q0273,50,16,34,0.680000
Q0274,50,16,34,0.680000
Q0275,50,16,34,0.680000
Q0276,50,16,34,0.680000
Q0277,50,16,34,0.680000
Q0278,50,16,34,0.680000
Q0279,50,16,34,0.680000
Q0280,50,16,34,0.680000
Q0281,50,16,34,0.680000
Q0282,50,16,34,0.680000
Q0283,50,16,34,0.680000
Q0284,50,16,34,0.680000
Q0285,50,16,34,0.680000
Q0286,50,16,34,0.680000
Q0287,50,16,34,0.680000
Q0288,50,16,34,0.680000
Q0289,50,16,34,0.680000
Q0290,50,16,34,0.680000
Q0291,50,16,34,0.680000
Q0292,50,16,34,0.680000
Q0293,50,16,34,0.680000
Q0294,50,16,34,0.680000
Q0295,50,16,34,0.680000
Q0296,50,16,34,0.680000
Q0297,50,16,34,0.680000
Q0298,50,16,34,0.680000
Q0299,50,16,34,0.680000
Q0300,50,16,34,0.680000
Q0301,50,16,34,0.680000
Q0302,50,16,34,0.680000
Q0303,50,16,34,0.680000
Q0304,50,16,34,0.680000
Q0305,50,16,34,0.680000
Q0306,50,16,34,0.680000
Q0307,50,16,34,0.680000
Q0308,50,16,34,0.680000
Q0309,50,16,34,0.680000
Q0310,50,16,34,0.680000
Q0311,50,16,34,0.680000
Q0312,50,16,34,0.680000
Q0313,50,16,34,0.680000
Q0314,50,16,34,0.680000
Q0315,50,16,34,0.680000
Q0316,50,16,34,0.680000
Q0317,50,16,34,0.680000
Q0318,50,16,34,0.680000
Q0319,50,16,34,0.680000
Q0320,50,16,34,0.680000
Q0321,50,16,34,0.680000
Q0322,50,16,34,0.680000
Q0323,50,16,34,0.680000
Q0324,50,16,34,0.680000
Q0325,50,16,34,0.680000
Q0326,50,16,34,0.680000
Q0327,50,16,34,0.680000
Q0328,50,16,34,0.680000
Q0329,50,16,34,0.680000
Q0330,50,16,34,0.680000
Q0331,50,16,34,0.680000
Q0332,50,16,34,0.680000
Q0333,50,16,34,0.680000
Q0334,50,16,34,0.680000
Q0335,50,16,34,0.680000
Q0336,50,16,34,0.680000
Q0337,50,16,34,0.680000
Q0338,50,16,34,0.680000
Q0339,50,16,34,0.680000
Q0340,50,16,34,0.680000
Q0341,50,16,34,0.680000
Q0342,50,16,34,0.680000
Q0343,50,16,34,0.680000
Q0344,50,16,34,0.680000
Q0345,50,16,34,0.680000
Q0346,50,16,34,0.680000
Q0347,50,16,34,0.680000
Q0348,50,16,34,0.680000
Q0349,50,16,34,0.680000
Q0350,50,16,34,0.680000
Q0351,50,16,34,0.680000
Q0352,50,16,34,0.680000
Q0353,50,16,34,0.680000
Q0354,50,16,34,0.680000
Q0355,50,16,34,0.680000
Q0356,50,16,34,0.680000
Q0357,50,16,34,0.680000
Q0358,50,16,34,0.680000
Q0359,50,16,34,0.680000
Q0360,50,16,34,0.680000
Q0361,50,16,34,0.680000
Q0362,50,16,34,0.680000
Q0363,50,16,34,0.680000
Q0364,50,16,34,0.680000
Q0365,50,16,34,0.680000
Q0366,50,16,34,0.680000
Q0367,50,16,34,0.680000
Q0368,50,16,34,0.680000
Q0369,50,16,34,0.680000
Q0370,50,16,34,0.680000
Q0371,50,16,34,0.680000
Q0372,50,16,34,0.680000
Q0373,50,16,34,0.680000
Q0374,50,16,34,0.680000
Q0375,50,16,34,0.680000
Q0376,50,16,34,0.680000
Q0377,50,16,34,0.680000
Q0378,50,16,34,0.680000
Q0379,50,16,34,0.680000
Q0380,50,16,34,0.680000
Q0381,50,16,34,0.680000
Q0382,50,16,34,0.680000
Q0383,50,16,34,0.680000
Q0384,50,16,34,0.680000
Q0385,50,16,34,0.680000
Q0386,50,16,34,0.680000
Q0387,50,16,34,0.680000
Q0388,50,16,34,0.680000
Q0389,50,16,34,0.680000
Q0390,50,16,34,0.680000
Q0391,50,16,34,0.680000
Q0392,50,16,34,0.680000
Q0393,50,16,34,0.680000
Q0394,50,16,34,0.680000
Q0395,50,16,34,0.680000
Q0396,50,16,34,0.680000
Q0397,50,16,34,0.680000
Q0398,50,16,34,0.680000
Q0399,50,16,34,0.680000
Q0400,50,16,34,0.680000
Q0401,50,16,34,0.680000
Q0402,50,16,34,0.680000
Q0403,50,16,34,0.680000
Q0404,50,16,34,0.680000
Q0405,50,16,34,0.680000
Q0406,50,16,34,0.680000
Q0407,50,16,34,0.680000
Q0408,50,16,34,0.680000
Q0409,50,16,34,0.680000
Q0410,50,16,34,0.680000
Q0411,50,16,34,0.680000
Q0412,50,16,34,0.680000
Q0413,50,16,34,0.680000
Q0414,50,16,34,0.680000
Q0415,50,16,34,0.680000
Q0416,50,16,34,0.680000
Q0417,50,16,34,0.680000
Q0418,50,16,34,0.680000
Q0419,50,16,34,0.680000
Q0420,50,16,34,0.680000
Q0421,50,16,34,0.680000
Q0422,50,16,34,0.680000
Q0423,50,16,34,0.680000
Q0424,50,16,34,0.680000
Q0425,50,16,34,0.680000
Q0426,50,16,34,0.680000
Q0427,50,16,34,0.680000
Q0428,50,16,34,0.680000
Q0429,50,16,34,0.680000
Q0430,50,16,34,0.680000
Q0431,50,16,34,0.680000
Q0432,50,16,34,0.680000
Q0433,50,16,34,0.680000
Q0434,50,16,34,0.680000
Q0435,50,16,34,0.680000
Q0436,50,16,34,0.680000
Q0437,50,16,34,0.680000
Q0438,50,16,34,0.680000
Q0439,50,16,34,0.680000
Q0440,50,16,34,0.680000
Q0441,50,16,34,0.680000
Q0442,50,16,34,0.680000
Q0443,50,16,34,0.680000
Q0444,50,16,34,0.680000
Q0445,50,16,34,0.680000
Q0446,50,16,34,0.680000
Q0447,50,16,34,0.680000
Q0448,50,16,34,0.680000
Q0449,50,16,34,0.680000
Q0450,50,16,34,0.680000
Q0451,50,16,34,0.680000
Q0452,50,16,34,0.680000
Q0453,50,16,34,0.680000
Q0454,50,16,34,0.680000
Q0455,50,16,34,0.680000
Q0456,50,16,34,0.680000
Q0457,50,16,34,0.680000
Q0458,50,16,34,0.680000
Q0459,50,16,34,0.680000
Q0460,50,16,34,0.680000
Q0461,50,16,34,0.680000
Q0462,50,16,34,0.680000
Q0463,50,16,34,0.680000
Q0464,50,16,34,0.680000
Q0465,50,16,34,0.680000
Q0466,50,16,34,0.680000
Q0467,50,16,34,0.680000
Q0468,50,16,34,0.680000
Q0469,50,16,34,0.680000
Q0470,50,16,34,0.680000
Q0471,50,16,34,0.680000
Q0472,50,16,34,0.680000
Q0473,50,16,34,0.680000
Q0474,50,16,34,0.680000
Q0475,50,16,34,0.680000
Q0476,50,16,34,0.680000
Q0477,50,16,34,0.680000
Q0478,50,16,34,0.680000
Q0479,50,16,34,0.680000
Q0480,50,16,34,0.680000
Q0481,50,16,34,0.680000
Q0482,50,16,34,0.680000
Q0483,50,16,34,0.680000
Q0484,50,16,34,0.680000
Q0485,50,16,34,0.680000
Q0486,50,16,34,0.680000
Q0487,50,16,34,0.680000
Q0488,50,16,34,0.680000
Q0489,50,16,34,0.680000
Q0490,50,16,34,0.680000
Q0491,50,16,34,0.680000
Q0492,50,16,34,0.680000
Q0493,50,16,34,0.680000
Q0494,50,16,34,0.680000
Q0495,50,16,34,0.680000
Q0496,50,16,34,0.680000
Q0497,50,16,34,0.680000
Q0498,50,16,34,0.680000
Q0499,50,16,34,0.680000
