question_id,category,context_blocks,mode,oom,exact_match,numeric_preservation,gold_recall,contradiction_accuracy,multi_fact_recall,kept_blocks,token_reduction_pct,ttft_ms,decode_ms,tokens_per_second,peak_vram_mb,est_kv_mb,max_batch_size,selector_latency_ms
Q0035,A,50,full,False,True,True,True,True,True,50,0.0,2737.8452999996625,1614.433199999894,16.724135752412533,8015.65966796875,204.08203125,1,0.0
Q0035,A,50,dense,False,True,True,True,True,True,13,74.0,135.74489999973594,1932.2956000000886,13.973017378913848,6609.625,55.72265625,3,0.0
Q0035,A,50,hybrid,False,True,True,True,True,True,13,74.0,121.36449999979959,1893.7527000002774,14.25740541518227,6609.625,55.72265625,3,0.0
Q0035,A,50,predictor,False,True,True,True,True,True,13,74.0,119.12529999972321,1739.2354999997224,15.524062152597685,6600.50732421875,54.80859375,3,31.650599999920814
Q0136,B,50,full,False,True,True,True,True,True,50,0.0,542.1814999999697,3216.457800000171,8.394327449282425,8022.421875,204.85546875,1,0.0
Q0136,B,50,dense,False,True,True,True,True,True,15,70.0,156.5600999997514,1916.3585000001149,14.089221823577573,6690.025390625,64.23046875,3,0.0
Q0136,B,50,hybrid,False,True,True,True,True,True,15,70.0,142.8523999998106,2295.2596999998605,11.763374750143369,6690.025390625,64.23046875,3,0.0
Q0136,B,50,predictor,False,True,True,True,True,True,15,70.0,145.96359999995911,2299.050999999963,11.743976101443785,6679.00732421875,63.10546875,3,21.675599999980477
Q0266,C,50,full,False,True,True,True,True,True,50,0.0,516.6105000002972,3017.9384000002756,8.946504673520684,7989.47900390625,201.48046875,1,0.0
Q0266,C,50,dense,False,True,True,True,True,True,14,72.0,129.8362000002271,2106.5168000000085,12.817367513992716,6618.87109375,56.7421875,3,0.0
Q0266,C,50,hybrid,False,True,True,True,True,True,14,72.0,131.34350000018458,1879.3511999997463,14.36666015378267,6618.87109375,56.7421875,3,0.0
Q0266,C,50,predictor,False,True,True,True,True,True,14,72.0,124.85730000025796,1873.2898999996905,14.413145557451871,6616.5703125,56.49609375,3,27.324099999987084
Q0356,D,50,full,False,False,False,True,False,True,50,0.0,522.1485000001849,4199.87059999994,11.190820974341607,7991.35009765625,202.21875,1,0.0
Q0356,D,50,dense,False,False,False,True,False,True,14,72.0,134.92660000019896,2843.878399999994,14.065298994499935,6628.54736328125,58.11328125,3,0.0
Q0356,D,50,hybrid,False,False,False,True,False,True,14,72.0,129.97450000011668,3257.2847999999794,12.280166597652208,6628.54736328125,58.11328125,3,0.0
Q0356,D,50,predictor,False,False,False,True,False,True,14,72.0,132.1554000001015,2172.4985000000743,12.428086831820172,6621.04296875,56.8828125,3,21.630500000355823
Q0439,E,50,full,False,True,True,True,True,True,50,0.0,505.36109999984546,2861.5881999999147,9.435319868875894,7927.9765625,194.6953125,1,0.0
Q0439,E,50,dense,False,True,True,True,True,True,16,68.0,140.87919999974474,1928.6693000003652,13.999289561976688,6637.14892578125,58.60546875,3,0.0
Q0439,E,50,hybrid,False,True,True,True,True,True,16,68.0,133.35099999994782,1875.561899999866,14.395685900850262,6637.14892578125,58.60546875,3,0.0
Q0439,E,50,predictor,False,True,True,True,True,True,16,68.0,128.70669999983875,1838.4633000000576,14.686178396924841,6633.41796875,58.2890625,3,25.04789999966306
Q0073,A,200,full,False,True,True,True,True,True,200,0.0,5211.738700000296,16498.214199999893,1.636540759665987,9010.07080078125,309.375,0,0.0
Q0073,A,200,dense,False,True,True,True,True,True,50,75.0,169.79240000000573,1905.5147000003672,14.169400005150733,6743.56494140625,69.92578125,2,0.0
Q0073,A,200,hybrid,False,True,True,True,True,True,50,75.0,142.27600000003804,1815.471400000206,14.872170390564643,6681.00390625,63.31640625,3,0.0
Q0073,A,200,predictor,False,True,True,True,True,True,50,75.0,156.72369999992952,1863.7964999998076,14.486560093874406,6690.65478515625,64.3359375,3,25.80519999992248
Q0197,B,200,full,False,True,True,True,True,True,200,0.0,5218.898499999796,16451.038700000026,1.6412337538297783,9009.73779296875,309.33984375,0,0.0
Q0197,B,200,dense,False,True,True,True,True,True,49,75.5,119.0108999999211,1807.4280000000726,14.9383543908797,6544.2353515625,48.8671875,3,0.0
Q0197,B,200,hybrid,False,True,True,True,True,True,49,75.5,99.79169999996884,1863.2882999995672,14.49051121074837,6511.9560546875,45.45703125,4,0.0
Q0197,B,200,predictor,False,True,True,True,True,True,49,75.5,154.43380000033358,2278.425200000129,11.85029027944322,6687.724609375,63.984375,3,27.394400000048336
Q0266,C,200,full,False,True,True,True,True,True,200,0.0,2819.4346999998743,14974.90659999994,1.8030162538709997,8987.10888671875,306.94921875,0,0.0
Q0266,C,200,dense,False,True,True,True,True,True,34,83.0,129.05999999975393,1825.625299999956,14.78945323555751,6607.4619140625,55.546875,3,0.0
Q0266,C,200,hybrid,False,True,True,True,True,True,34,83.0,111.76389999991443,2080.235299999913,12.979300947350104,6544.2353515625,48.8671875,3,0.0
Q0266,C,200,predictor,False,True,True,True,True,True,34,83.0,113.93379999981335,2258.8043000000653,11.953226758068071,6591.8212890625,53.89453125,3,25.557299999945826
Q0368,D,200,full,False,False,False,True,False,True,200,0.0,3632.700499999828,19008.2824000001,2.7356495924113444,8986.50537109375,307.6171875,0,0.0
Q0368,D,200,dense,False,False,True,True,False,True,38,81.0,206.7375000001448,4029.566199999863,13.152780564816581,6853.287109375,79.76953125,2,0.0
Q0368,D,200,hybrid,False,False,False,True,False,True,38,81.0,295.29450000018187,2374.976300000071,11.368534498638656,7194.72265625,115.171875,1,0.0
Q0368,D,200,predictor,False,False,True,True,False,True,38,81.0,122.78339999966192,3974.781200000052,15.346756696947041,6595.27880859375,55.30078125,3,30.388000000129978
Q0451,E,200,full,False,True,True,True,True,True,200,0.0,3557.5487000000976,16992.40329999975,1.5889453377086686,8927.4501953125,300.375,0,0.0
Q0451,E,200,dense,False,True,True,True,True,True,40,80.0,203.1246999999894,2085.542499999974,12.946271773411635,6862.46435546875,79.98046875,2,0.0
Q0451,E,200,hybrid,False,True,True,True,True,True,40,80.0,162.52189999977418,1916.3958999997703,14.088946861138263,6745.0732421875,69.99609375,2,0.0
Q0451,E,200,predictor,False,True,True,True,True,True,40,80.0,136.77869999992254,1830.471999999645,14.750293913266761,6667.06005859375,61.8046875,3,29.814099999839527
Q0080,A,400,full,False,True,True,True,True,True,400,0.0,11195.084599999973,38455.45659999971,0.7021110236928043,10343.94873046875,450.28125,0,0.0
Q0080,A,400,dense,False,True,True,True,True,True,68,83.0,245.30420000019149,2414.2319000002317,11.183681236254648,6957.51123046875,91.1953125,2,0.0
Q0080,A,400,hybrid,False,True,True,True,True,True,68,83.0,187.68739999995887,2369.556900000134,11.394535408708046,6842.26416015625,77.58984375,2,0.0
Q0080,A,400,predictor,False,True,True,True,True,True,68,83.0,267.7805999996963,2584.811400000035,10.4456363818264,7008.47802734375,97.3828125,2,30.454400000053283
Q0186,B,400,full,False,True,True,True,True,True,400,0.0,2824.293000000125,44094.91800000024,0.6123154600264786,10347.78466796875,450.59765625,0,0.0
Q0186,B,400,dense,False,True,True,True,True,True,69,82.75,312.2688000003109,2183.5136999998213,12.365390700320411,7083.4609375,105.2578125,2,0.0
Q0186,B,400,hybrid,False,True,True,True,True,True,69,82.75,190.47449999970922,1930.6846999998015,13.984676006394404,6878.62548828125,81.9140625,2,0.0
Q0186,B,400,predictor,False,True,True,True,True,True,69,82.75,254.94660000003933,2068.991300000107,13.049837377275875,7015.65576171875,98.05078125,2,33.019899999999325
Q0204,C,400,full,False,True,True,True,True,True,400,0.0,5539.360199999919,28172.33609999994,0.9583869759384298,10323.41552734375,447.75,0,0.0
Q0204,C,400,dense,False,True,True,True,True,True,71,82.25,155.5964999997741,1936.3775000001624,13.943562141161905,6683.9990234375,63.6328125,3,0.0
Q0204,C,400,hybrid,False,True,True,True,True,True,71,82.25,138.55839999996533,1907.567299999755,14.154153303007169,6651.72021484375,60.22265625,3,0.0
Q0204,C,400,predictor,False,True,True,True,True,True,71,82.25,264.0406000000439,2157.8576000001704,12.512410457482398,7038.8896484375,100.3359375,2,29.199900000094203
Q0372,D,400,full,False,False,False,True,False,True,400,0.0,7237.143599999854,25058.90320000026,1.0375553867018303,10327.35595703125,448.20703125,0,0.0
Q0372,D,400,dense,False,False,False,True,False,True,75,81.25,175.96980000007534,2011.768100000154,13.421029988495162,6868.52880859375,80.75390625,2,0.0
Q0372,D,400,hybrid,False,False,False,True,False,True,75,81.25,354.2225999999573,2984.8535999999513,13.400992263071346,7415.837890625,140.8359375,1,0.0
Q0372,D,400,predictor,False,False,False,True,False,True,75,81.25,259.90749999982654,2100.055099999736,12.856805519056808,7069.37548828125,103.78125,2,32.807900000079826
Q0469,E,400,full,False,True,True,True,True,True,400,0.0,8312.135600000147,23807.33939999982,1.1341040486027685,10252.3984375,440.578125,0,0.0
Q0469,E,400,dense,False,True,True,True,True,True,72,82.0,156.00140000015017,2032.045399999788,13.287104707406053,6719.9384765625,67.4296875,3,0.0
Q0469,E,400,hybrid,False,True,True,True,True,True,72,82.0,150.580699999864,1980.8696000000054,13.630377284804576,6688.658203125,64.125,3,0.0
Q0469,E,400,predictor,False,True,True,True,True,True,72,82.0,277.1898000000874,2044.9797000001126,13.203065047539843,7043.91796875,100.93359375,2,32.81250000009095
