context_size_blocks,mode,category,exact_match_pct,f1_score_pct,gold_block_recall_pct,count
50,full_context,A,100.0,100.0,100.0,30
50,full_context,B,93.33333333333333,93.33333333333333,100.0,30
50,full_context,C,100.0,100.0,100.0,30
50,full_context,D,93.33333333333333,93.33333333333333,100.0,30
50,full_context,E,26.666666666666668,51.11111111111111,100.0,30
50,full_context,F,26.666666666666668,46.666666666666664,100.0,30
50,full_context,G,0.0,47.29822406110128,100.0,30
50,full_context,H,0.0,63.1851851851852,100.0,30
50,full_context,I,93.33333333333333,93.33333333333333,100.0,30
50,full_context,J,83.33333333333334,83.33333333333334,100.0,30
50,hybrid,A,100.0,100.0,100.0,30
50,hybrid,B,93.33333333333333,93.33333333333333,100.0,30
50,hybrid,C,100.0,100.0,100.0,30
50,hybrid,D,80.0,90.0,100.0,30
50,hybrid,E,26.666666666666668,50.0,100.0,30
50,hybrid,F,26.666666666666668,46.66666666666667,100.0,30
50,hybrid,G,0.0,67.06666427113834,100.0,30
50,hybrid,H,0.0,68.38189261718675,100.0,30
50,hybrid,I,93.33333333333333,93.33333333333333,100.0,30
50,hybrid,J,83.33333333333334,83.33333333333334,100.0,30
50,oracle,A,100.0,100.0,100.0,30
50,oracle,B,93.33333333333333,93.33333333333333,100.0,30
50,oracle,C,100.0,100.0,100.0,30
50,oracle,D,93.33333333333333,93.33333333333333,100.0,30
50,oracle,E,90.0,90.0,100.0,30
50,oracle,F,83.33333333333334,83.33333333333334,100.0,30
50,oracle,G,0.0,70.73160173160171,100.0,30
50,oracle,H,3.3333333333333335,67.27069811280339,100.0,30
50,oracle,I,93.33333333333333,93.33333333333333,100.0,30
50,oracle,J,83.33333333333334,83.33333333333334,100.0,30
50,predictor_cached,A,100.0,100.0,100.0,30
50,predictor_cached,B,93.33333333333333,93.33333333333333,100.0,30
50,predictor_cached,C,100.0,100.0,100.0,30
50,predictor_cached,D,90.0,92.5,100.0,30
50,predictor_cached,E,26.666666666666668,50.0,100.0,30
50,predictor_cached,F,26.666666666666668,46.66666666666667,100.0,30
50,predictor_cached,G,0.0,55.69832593353061,100.0,30
50,predictor_cached,H,3.3333333333333335,68.34535834535836,93.33333333333333,30
50,predictor_cached,I,93.33333333333333,93.33333333333333,100.0,30
50,predictor_cached,J,83.33333333333334,83.33333333333334,100.0,30
50,predictor_otf,A,100.0,100.0,100.0,30
50,predictor_otf,B,93.33333333333333,93.33333333333333,100.0,30
50,predictor_otf,C,100.0,100.0,100.0,30
50,predictor_otf,D,90.0,92.5,100.0,30
50,predictor_otf,E,26.666666666666668,50.0,100.0,30
50,predictor_otf,F,26.666666666666668,46.66666666666667,100.0,30
50,predictor_otf,G,0.0,55.69832593353061,100.0,30
50,predictor_otf,H,3.3333333333333335,69.67869167869168,93.33333333333333,30
50,predictor_otf,I,93.33333333333333,93.33333333333333,100.0,30
50,predictor_otf,J,83.33333333333334,83.33333333333334,100.0,30
50,random,A,10.0,42.22222222222223,10.0,30
50,random,B,10.0,43.33333333333333,16.666666666666664,30
50,random,C,10.0,40.00000000000001,6.666666666666667,30
50,random,D,0.0,32.166666666666664,6.666666666666667,30
50,random,E,10.0,41.111111111111114,23.333333333333332,30
50,random,F,6.666666666666667,37.77777777777777,23.333333333333332,30
50,random,G,0.0,21.544638295624416,13.333333333333334,30
50,random,H,0.0,7.144035740384624,16.666666666666664,30
50,random,I,6.666666666666667,38.8888888888889,13.333333333333334,30
50,random,J,0.0,28.888888888888886,16.666666666666664,30
200,full_context,A,100.0,100.0,100.0,30
200,full_context,B,93.33333333333333,93.33333333333333,100.0,30
200,full_context,C,100.0,100.0,100.0,30
200,full_context,D,76.66666666666667,90.0925925925926,100.0,30
200,full_context,E,26.666666666666668,50.000000000000014,100.0,30
200,full_context,F,23.333333333333332,45.55555555555556,100.0,30
200,full_context,G,0.0,22.701202371420973,100.0,30
200,full_context,H,0.0,62.66666666666667,100.0,30
200,full_context,I,23.333333333333332,43.122837066315334,100.0,30
200,full_context,J,83.33333333333334,83.33333333333334,100.0,30
200,hybrid,A,100.0,100.0,100.0,30
200,hybrid,B,93.33333333333333,93.33333333333333,100.0,30
200,hybrid,C,100.0,100.0,100.0,30
200,hybrid,D,90.0,92.5,100.0,30
200,hybrid,E,26.666666666666668,50.0,100.0,30
200,hybrid,F,26.666666666666668,46.66666666666667,100.0,30
200,hybrid,G,0.0,73.16530290049782,100.0,30
200,hybrid,H,3.3333333333333335,72.56638176638177,100.0,30
200,hybrid,I,93.33333333333333,93.33333333333333,100.0,30
200,hybrid,J,83.33333333333334,83.33333333333334,100.0,30
200,oracle,A,100.0,100.0,100.0,30
200,oracle,B,93.33333333333333,93.33333333333333,100.0,30
200,oracle,C,100.0,100.0,100.0,30
200,oracle,D,93.33333333333333,93.33333333333333,100.0,30
200,oracle,E,90.0,90.0,100.0,30
200,oracle,F,83.33333333333334,83.33333333333334,100.0,30
200,oracle,G,0.0,70.73160173160171,100.0,30
200,oracle,H,3.3333333333333335,67.27069811280339,100.0,30
200,oracle,I,93.33333333333333,93.33333333333333,100.0,30
200,oracle,J,83.33333333333334,83.33333333333334,100.0,30
200,predictor_cached,A,100.0,100.0,100.0,30
200,predictor_cached,B,93.33333333333333,93.33333333333333,100.0,30
200,predictor_cached,C,100.0,100.0,100.0,30
200,predictor_cached,D,90.0,92.5,100.0,30
200,predictor_cached,E,26.666666666666668,50.0,100.0,30
200,predictor_cached,F,30.0,48.88888888888889,100.0,30
200,predictor_cached,G,0.0,73.0671320965299,100.0,30
200,predictor_cached,H,3.3333333333333335,68.82154882154884,93.33333333333333,30
200,predictor_cached,I,93.33333333333333,93.33333333333333,100.0,30
200,predictor_cached,J,83.33333333333334,83.33333333333334,100.0,30
200,predictor_otf,A,100.0,100.0,100.0,30
200,predictor_otf,B,93.33333333333333,93.33333333333333,100.0,30
200,predictor_otf,C,100.0,100.0,100.0,30
200,predictor_otf,D,90.0,92.5,100.0,30
200,predictor_otf,E,26.666666666666668,50.0,100.0,30
200,predictor_otf,F,30.0,48.88888888888889,100.0,30
200,predictor_otf,G,0.0,73.0671320965299,100.0,30
200,predictor_otf,H,3.3333333333333335,68.82154882154884,93.33333333333333,30
200,predictor_otf,I,93.33333333333333,93.33333333333333,100.0,30
200,predictor_otf,J,83.33333333333334,83.33333333333334,100.0,30
200,random,A,0.0,26.666666666666668,0.0,30
200,random,B,3.3333333333333335,26.666666666666668,10.0,30
200,random,C,3.3333333333333335,30.0,0.0,30
200,random,D,0.0,31.166666666666664,6.666666666666667,30
200,random,E,10.0,41.111111111111114,20.0,30
200,random,F,0.0,33.33333333333333,16.666666666666664,30
200,random,G,0.0,22.981634022866047,13.333333333333334,30
200,random,H,0.0,3.172198172198173,16.666666666666664,30
200,random,I,3.3333333333333335,37.777777777777786,10.0,30
200,random,J,0.0,26.666666666666668,16.666666666666664,30
400,full_context,A,0.0,33.50414078674948,100.0,30
400,full_context,B,0.0,36.021394064872325,100.0,30
400,full_context,C,0.0,40.0,100.0,30
400,full_context,D,0.0,21.390324650452442,100.0,30
400,full_context,E,0.0,19.316895664721756,100.0,30
400,full_context,F,0.0,5.145440938989325,100.0,30
400,full_context,G,0.0,21.39383866641107,100.0,30
400,full_context,H,0.0,22.840722495894912,100.0,30
400,full_context,I,0.0,28.311111111111114,100.0,30
400,full_context,J,0.0,36.11142480707698,100.0,30
400,hybrid,A,100.0,100.0,100.0,30
400,hybrid,B,93.33333333333333,93.33333333333333,100.0,30
400,hybrid,C,100.0,100.0,100.0,30
400,hybrid,D,83.33333333333334,90.83333333333333,100.0,30
400,hybrid,E,23.333333333333332,48.888888888888886,100.0,30
400,hybrid,F,30.0,48.88888888888889,100.0,30
400,hybrid,G,0.0,72.8229114620919,100.0,30
400,hybrid,H,3.3333333333333335,55.37373737373738,100.0,30
400,hybrid,I,93.33333333333333,93.33333333333333,100.0,30
400,hybrid,J,83.33333333333334,83.33333333333334,100.0,30
400,oracle,A,100.0,100.0,100.0,30
400,oracle,B,93.33333333333333,93.33333333333333,100.0,30
400,oracle,C,100.0,100.0,100.0,30
400,oracle,D,93.33333333333333,93.33333333333333,100.0,30
400,oracle,E,90.0,90.0,100.0,30
400,oracle,F,83.33333333333334,83.33333333333334,100.0,30
400,oracle,G,0.0,70.73160173160171,100.0,30
400,oracle,H,6.666666666666667,67.27069811280339,100.0,30
400,oracle,I,93.33333333333333,93.33333333333333,100.0,30
400,oracle,J,83.33333333333334,83.33333333333334,100.0,30
400,predictor_cached,A,100.0,100.0,100.0,30
400,predictor_cached,B,93.33333333333333,93.33333333333333,100.0,30
400,predictor_cached,C,100.0,100.0,100.0,30
400,predictor_cached,D,93.33333333333333,93.33333333333333,100.0,30
400,predictor_cached,E,20.0,46.666666666666664,100.0,30
400,predictor_cached,F,30.0,48.88888888888889,100.0,30
400,predictor_cached,G,0.0,73.68217190106246,100.0,30
400,predictor_cached,H,0.0,59.18518518518518,93.33333333333333,30
400,predictor_cached,I,93.33333333333333,93.33333333333333,100.0,30
400,predictor_cached,J,83.33333333333334,83.33333333333334,100.0,30
400,predictor_otf,A,100.0,100.0,100.0,30
400,predictor_otf,B,93.33333333333333,93.33333333333333,100.0,30
400,predictor_otf,C,100.0,100.0,100.0,30
400,predictor_otf,D,93.33333333333333,93.33333333333333,100.0,30
400,predictor_otf,E,20.0,46.666666666666664,100.0,30
400,predictor_otf,F,30.0,48.88888888888889,100.0,30
400,predictor_otf,G,0.0,73.68217190106246,100.0,30
400,predictor_otf,H,0.0,59.18518518518518,93.33333333333333,30
400,predictor_otf,I,93.33333333333333,93.33333333333333,100.0,30
400,predictor_otf,J,83.33333333333334,83.33333333333334,100.0,30
400,random,A,0.0,28.888888888888886,0.0,30
400,random,B,3.3333333333333335,30.0,10.0,30
400,random,C,6.666666666666667,33.33333333333333,3.3333333333333335,30
400,random,D,0.0,30.333333333333336,6.666666666666667,30
400,random,E,0.0,34.44444444444444,10.0,30
400,random,F,0.0,33.33333333333333,16.666666666666664,30
400,random,G,0.0,20.696061559018165,13.333333333333334,30
400,random,H,0.0,5.040007922360864,16.666666666666664,30
400,random,I,0.0,34.44444444444445,6.666666666666667,30
400,random,J,0.0,26.66666666666666,16.666666666666664,30
